'Date','Sleep Time','Awake Time','Duration','Rating'
'03-09-2015','02:09 am','09:45 am','07 hr 36 min',''
'03-07-2015','02:02 am','09:10 am','07 hr 08 min',''
'03-06-2015','12:51 am','08:10 am','07 hr 20 min',''
'03-05-2015','01:09 am','06:30 am','05 hr 22 min',''
'03-04-2015','03:02 am','09:10 am','06 hr 08 min',''
'03-03-2015','01:26 am','10:00 am','08 hr 34 min',''
'03-02-2015','02:38 am','10:00 am','07 hr 22 min',''
'03-01-2015','02:47 am','09:00 am','06 hr 13 min',''
'02-28-2015','02:10 am','10:42 am','08 hr 32 min',''
'02-27-2015','02:16 am','10:00 am','07 hr 44 min',''
'02-26-2015','01:41 am','11:00 am','09 hr 19 min',''
'02-25-2015','01:55 am','08:00 am','06 hr 05 min',''
'02-24-2015','02:19 am','08:20 am','06 hr 01 min',''
'02-23-2015','01:56 am','09:20 am','07 hr 24 min',''
'02-22-2015','03:15 am','10:20 am','07 hr 05 min',''
'02-21-2015','02:50 am','11:00 am','08 hr 10 min',''
'02-20-2015','02:56 am','09:43 am','06 hr 47 min',''
'02-19-2015','02:27 am','09:42 am','07 hr 15 min',''
'02-18-2015','02:54 am','09:12 am','06 hr 18 min',''
'02-17-2015','02:38 am','10:17 am','07 hr 39 min',''
'02-14-2015','03:14 am','11:50 am','08 hr 36 min',''
'02-13-2015','02:12 am','08:30 am','06 hr 18 min',''
'02-12-2015','02:56 am','11:00 am','08 hr 04 min',''
'02-11-2015','09:28 am','11:28 am','02 hr 00 min',''
'02-11-2015','04:37 am','09:00 am','04 hr 23 min',''
'02-10-2015','01:47 am','09:45 am','07 hr 58 min',''
'02-09-2015','02:14 am','09:10 am','06 hr 56 min',''
'02-08-2015','02:40 am','09:10 am','06 hr 30 min',''
'02-07-2015','02:30 am','11:00 am','08 hr 30 min',''
'02-06-2015','02:04 am','10:00 am','07 hr 56 min',''
'02-05-2015','02:19 am','09:40 am','07 hr 21 min',''
'02-04-2015','02:13 am','09:35 am','07 hr 22 min',''
'02-03-2015','02:45 am','09:00 am','06 hr 15 min',''
'02-02-2015','02:17 am','09:00 am','06 hr 43 min',''
'02-01-2015','02:44 am','10:00 am','07 hr 16 min',''
'01-21-2015','01:45 am','08:33 am','06 hr 48 min',''
'01-13-2015','02:02 am','09:40 am','07 hr 38 min',''
'01-12-2015','01:47 am','08:40 am','06 hr 53 min',''
'01-11-2015','03:04 am','09:20 am','06 hr 17 min',''
'01-09-2015','08:10 am','10:14 am','02 hr 04 min',''
'01-09-2015','02:40 am','08:10 am','05 hr 30 min',''
'01-08-2015','01:34 am','09:07 am','07 hr 33 min',''
'01-07-2015','08:00 am','08:43 am','00 hr 43 min',''
'01-07-2015','02:52 am','08:00 am','05 hr 08 min',''
'01-06-2015','08:00 am','08:51 am','00 hr 51 min',''
'01-06-2015','12:55 am','08:00 am','07 hr 05 min',''
'12-31-2014','08:00 am','10:13 am','02 hr 13 min',''
'12-31-2014','03:03 am','08:00 am','04 hr 58 min',''
'12-30-2014','08:09 am','10:09 am','02 hr 00 min',''
'12-30-2014','02:46 am','08:00 am','05 hr 14 min',''
'12-29-2014','08:00 pm','10:00 pm','02 hr 00 min',''
'12-29-2014','02:39 am','08:00 am','05 hr 21 min',''
'12-28-2014','03:07 am','09:00 am','05 hr 53 min',''
'12-27-2014','09:00 am','09:24 am','00 hr 24 min',''
'12-27-2014','03:02 am','09:00 am','05 hr 58 min',''
'12-26-2014','08:00 am','09:11 am','01 hr 11 min',''
'12-26-2014','02:16 am','08:00 am','05 hr 44 min',''
'12-25-2014','08:00 am','09:28 am','01 hr 28 min',''
'12-25-2014','03:05 am','08:00 am','04 hr 56 min',''
'12-23-2014','08:40 pm','10:00 pm','01 hr 20 min',''
'12-23-2014','02:25 am','08:40 am','06 hr 16 min',''
'12-22-2014','08:20 am','09:12 am','00 hr 52 min',''
'12-22-2014','02:53 am','08:20 am','05 hr 28 min',''
'12-21-2014','09:00 am','10:30 am','01 hr 30 min',''
'12-21-2014','03:35 am','09:00 am','05 hr 26 min',''
'12-20-2014','02:47 am','09:00 am','06 hr 13 min',''
'12-19-2014','08:00 am','08:39 am','00 hr 39 min',''
'12-19-2014','12:55 am','08:00 am','07 hr 05 min',''
'12-18-2014','08:10 am','09:08 am','00 hr 58 min',''
'12-18-2014','03:29 am','08:10 am','04 hr 41 min',''
'12-15-2014','08:00 am','08:30 am','00 hr 30 min',''
'12-15-2014','02:14 am','08:00 am','05 hr 46 min',''
'12-14-2014','09:00 am','10:22 am','01 hr 22 min',''
'12-14-2014','03:00 am','09:00 am','06 hr 01 min',''
'12-13-2014','01:38 am','09:00 am','07 hr 22 min',''
'12-12-2014','01:50 am','08:00 am','06 hr 10 min',''
'12-11-2014','01:57 am','08:10 am','06 hr 13 min',''
'12-10-2014','03:20 am','08:00 am','04 hr 40 min',''
'12-09-2014','02:13 am','08:40 am','06 hr 27 min',''
'12-08-2014','08:30 am','09:28 am','00 hr 58 min',''
'12-08-2014','01:13 am','08:30 am','07 hr 17 min',''
'12-07-2014','03:44 am','09:30 am','05 hr 46 min',''
'12-06-2014','03:30 am','09:50 am','06 hr 20 min',''
'12-05-2014','08:50 am','09:23 am','00 hr 33 min',''
'12-05-2014','02:18 am','08:50 am','06 hr 32 min',''
'12-04-2014','08:40 am','09:23 am','00 hr 43 min',''
'12-04-2014','02:54 am','08:40 am','05 hr 46 min',''
'12-03-2014','08:30 am','09:52 am','01 hr 22 min',''
'12-03-2014','02:26 am','08:30 am','06 hr 05 min',''
'12-02-2014','08:30 am','09:20 am','00 hr 50 min',''
'12-02-2014','01:45 am','08:30 am','06 hr 45 min',''
'12-01-2014','02:56 am','09:00 am','06 hr 04 min',''
'11-30-2014','09:40 am','11:10 am','01 hr 30 min',''
'11-30-2014','03:36 am','09:40 am','06 hr 04 min',''
'11-29-2014','03:39 am','09:40 am','06 hr 01 min',''
'11-28-2014','01:23 am','08:40 am','07 hr 18 min',''
'11-27-2014','08:30 am','10:00 am','01 hr 30 min',''
'11-27-2014','03:51 am','08:30 am','04 hr 39 min',''
'11-26-2014','08:30 am','09:36 am','01 hr 06 min',''
'11-26-2014','02:23 am','08:30 am','06 hr 08 min',''
'11-25-2014','02:22 am','08:44 am','06 hr 23 min',''
'11-24-2014','08:40 am','09:34 am','00 hr 54 min',''
'11-24-2014','02:03 am','08:40 am','06 hr 37 min',''
'11-23-2014','09:30 am','11:09 am','01 hr 39 min',''
'11-23-2014','02:45 am','09:30 am','06 hr 46 min',''
'11-22-2014','09:30 am','11:54 am','02 hr 24 min',''
'11-22-2014','03:10 am','09:30 am','06 hr 20 min',''
'11-21-2014','02:01 am','08:30 am','06 hr 29 min',''
'11-20-2014','02:21 am','08:30 am','06 hr 09 min',''
'11-19-2014','01:21 am','08:30 am','07 hr 09 min',''
'11-18-2014','08:30 am','10:24 am','01 hr 54 min',''
'11-18-2014','01:52 am','08:30 am','06 hr 39 min',''
'11-17-2014','08:40 am','09:08 am','00 hr 28 min',''
'11-17-2014','02:32 am','08:40 am','06 hr 08 min',''
'11-16-2014','09:30 am','12:02 am','02 hr 32 min',''
'11-16-2014','03:23 am','09:30 am','06 hr 07 min',''
'11-15-2014','09:30 am','11:10 am','01 hr 40 min',''
'11-15-2014','02:08 am','09:30 am','07 hr 22 min',''
'11-13-2014','02:19 am','08:31 am','06 hr 13 min',''
'11-12-2014','02:00 am','08:30 am','06 hr 30 min',''
'11-11-2014','08:04 am','08:32 am','00 hr 28 min',''
'11-11-2014','02:20 am','08:04 am','05 hr 44 min',''
'11-10-2014','08:09 am','09:23 am','01 hr 14 min',''
'11-10-2014','01:48 am','08:09 am','06 hr 21 min',''
'11-09-2014','09:30 am','10:16 am','00 hr 46 min',''
'11-09-2014','02:25 am','09:30 am','07 hr 06 min',''
'11-08-2014','09:30 am','10:48 am','01 hr 18 min',''
'11-08-2014','02:48 am','09:30 am','06 hr 42 min',''
'11-07-2014','08:30 am','09:04 am','00 hr 34 min',''
'11-07-2014','02:16 am','08:30 am','06 hr 15 min',''
'11-06-2014','08:13 am','09:20 am','01 hr 07 min',''
'11-06-2014','02:06 am','08:13 am','06 hr 08 min',''
'11-05-2014','02:03 am','08:29 am','06 hr 26 min',''
'11-04-2014','08:02 am','09:02 am','01 hr 00 min',''
'11-04-2014','01:34 am','08:00 am','06 hr 26 min',''
'11-03-2014','01:56 am','08:27 am','06 hr 32 min',''
'11-02-2014','01:52 am','09:21 am','07 hr 29 min',''
'11-01-2014','09:00 am','10:50 am','01 hr 50 min',''
'11-01-2014','03:17 am','09:00 am','05 hr 44 min',''
'10-31-2014','08:23 am','09:49 am','01 hr 26 min',''
'10-31-2014','08:13 am','08:23 am','00 hr 10 min',''
'10-31-2014','02:02 am','08:12 am','06 hr 11 min',''
'10-30-2014','08:11 am','08:38 am','00 hr 27 min',''
'10-30-2014','02:08 am','08:01 am','05 hr 53 min',''
'10-29-2014','02:02 am','08:20 am','06 hr 19 min',''
'10-28-2014','02:20 am','08:30 am','06 hr 11 min',''
'10-27-2014','02:10 am','08:30 am','06 hr 20 min',''
'10-26-2014','09:30 am','09:53 am','00 hr 23 min',''
'10-26-2014','03:01 am','09:30 am','06 hr 30 min',''
'10-25-2014','09:30 am','10:47 am','01 hr 17 min',''
'10-25-2014','03:17 am','09:30 am','06 hr 13 min',''
'10-24-2014','02:49 am','08:30 am','05 hr 41 min',''
'10-23-2014','08:40 am','09:25 am','00 hr 45 min',''
'10-23-2014','03:11 am','08:40 am','05 hr 29 min',''
'10-22-2014','02:35 am','08:30 am','05 hr 55 min',''
'10-21-2014','08:33 am','09:24 am','00 hr 52 min',''
'10-21-2014','02:09 am','08:30 am','06 hr 21 min',''
'10-19-2014','03:00 am','09:39 am','06 hr 39 min',''
'10-18-2014','03:05 am','09:30 am','06 hr 26 min',''
'10-17-2014','01:42 am','08:30 am','06 hr 48 min',''
'10-16-2014','01:43 am','08:30 am','06 hr 47 min',''
'10-15-2014','02:35 am','08:27 am','05 hr 52 min',''
'10-14-2014','01:10 am','08:00 am','06 hr 50 min',''
'10-12-2014','03:04 am','09:03 am','05 hr 60 min',''
'10-11-2014','09:00 am','10:03 am','01 hr 03 min',''
'10-11-2014','02:48 am','09:00 am','06 hr 12 min',''
'10-10-2014','12:57 am','08:10 am','07 hr 13 min',''
'10-09-2014','02:13 am','08:20 am','06 hr 07 min',''
'10-08-2014','02:07 am','08:10 am','06 hr 03 min',''
'10-07-2014','01:01 am','08:00 am','06 hr 59 min',''
'10-06-2014','01:54 am','08:40 am','06 hr 46 min',''
'10-05-2014','09:45 am','10:40 am','00 hr 55 min',''
'10-05-2014','04:08 am','09:45 am','05 hr 38 min',''
